🕘️更新时间,#genre#
2026-01-18 07:14:09,http://171.104.106.89:50112/udp/239.81.0.28:4056

☘️央视频道,#genre#
CGTN,http://171.104.106.89:50112/udp/239.81.0.28:4056
CGTN,http://www.wmviv.com/iptv/bc2t.php?id=cgtn
CGTN,http://112.27.235.94:8000/hls/17/index.m3u8
CGTN,https://play.kankanlive.com/live/1698423645566913.m3u8
CGTN纪录,http://106.59.2.106:55555/udp/239.200.201.183:4220
CGTN纪录,http://114.254.38.86:18888/rtp/239.3.1.216:4220
CGTN纪录,http://111.162.207.111:8686/rtp/225.1.1.55:5002
CGTN纪录,http://111.113.88.15:2000/rtp/239.121.4.136:8018
CGTN纪录,http://113.119.26.1:58888/udp/239.253.43.122:5146
CGTN纪录,http://202.107.163.77:5555/udp/238.125.3.119:5140
CGTN纪录,http://220.176.218.76:9000/udp/239.252.219.195:5140
CGTN纪录,http://115.58.141.132:4000/rtp/225.1.5.35:1345
CGTN纪录,http://61.159.134.64:18000/rtp/238.255.2.212:5999
CGTN纪录,http://58.46.29.143:8188/udp/239.76.252.67:9000
CGTN英语,http://106.59.2.106:55555/udp/239.200.200.30:8500
CGTN英语,http://106.59.2.106:55555/udp/239.200.201.182:4220
CGTN英语,http://115.171.216.84:4000/rtp/225.1.8.116:8056
CGTN英语,http://114.254.38.86:18888/rtp/239.3.1.215:4220
CGTN英语,http://171.213.151.229:8188/udp/239.94.0.40:5140
CGTN英语,http://171.213.195.111:4000/udp/239.94.0.40:5140
CGTN英语,http://111.162.207.111:8686/rtp/225.1.1.27:5002
CGTN英语,http://111.113.88.15:2000/rtp/239.121.4.125:8014
CGTN英语,http://113.119.26.1:58888/udp/239.77.0.199:5146
CGTN英语,http://202.107.163.77:5555/udp/238.125.5.69:5140
CGTN法语,http://106.59.2.106:55555/rtp/239.200.201.185:4220
CGTN法语,http://114.254.38.86:18888/rtp/239.3.1.218:4220
CGTN法语,http://171.213.151.229:8188/udp/239.94.1.66:5140
CGTN法语,http://171.213.195.111:4000/udp/239.94.1.66:5140
CGTN法语,http://111.113.88.15:2000/rtp/239.121.4.206:8024
CGTN法语,http://113.119.26.1:58888/udp/239.77.0.228:5146
CGTN法语,http://220.176.218.76:9000/udp/239.252.219.65:5140
CGTN法语,http://111.227.202.98:4022/rtp/239.254.201.210:4220
CGTN法语,http://115.58.141.132:4000/rtp/225.1.5.37:1347
CGTN法语,http://61.159.134.64:18000/rtp/238.255.2.208:5999
CGTN西语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CGTN俄语,http://106.59.2.106:55555/udp/239.200.201.187:4220
CGTN俄语,http://114.254.38.86:18888/rtp/239.3.1.220:4220
CGTN俄语,http://111.113.88.15:2000/rtp/239.121.4.208:8030
CGTN俄语,http://113.119.26.1:58888/udp/239.253.43.201:5146
CGTN俄语,http://220.176.218.76:9000/udp/239.252.219.67:5140
CGTN俄语,http://111.227.202.98:4022/rtp/239.254.201.212:4220
CGTN俄语,http://115.58.141.132:4000/rtp/225.1.5.39:1349
CGTN俄语,http://61.159.134.64:18000/rtp/238.255.2.210:5999
CGTN俄语,http://58.46.29.143:8188/udp/239.76.253.86:9000
CGTN俄语,http://58.46.29.143:8188/udp/239.76.246.86:1234
CGTN阿语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
CCTV电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1
CCTV-1,http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009
CCTV-1,https://live.catvod.com/iptv.php?id=rthk33
CCTV-1,http://23.237.228.134/live5/CCTV1.m3u8
CCTV-1,http://tvlist.top/jd/index.php?id=cctv1&qt=183.224.122.114:8014
CCTV-1,http://hczn.x3322.net:9902/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://223.167.230.132:4022/rtp/233.18.204.52:5140
CCTV-1,http://111.162.207.138:8686/rtp/225.1.1.120:5002
CCTV-1,http://114.107.46.65:8188/rtp/238.1.78.166:7200
CCTV-2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2
CCTV-2,http://23.237.228.134/live5/CCTV2.m3u8
CCTV-2,http://pull-hls-f1.douyincdn.com/media/stream-695106910011261612/playlist.m3u8?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-20260114100308192594C57677D9CCE8DA-vujvxt&wsSecret=5aec4b2fd09a7a40920df80db1862da9&wsTime=6966f95d
CCTV-2,http://223.167.230.132:4022/rtp/233.18.204.68:5140
CCTV-2,http://111.162.207.138:8686/rtp/225.1.1.133:5002
CCTV-2,http://113.119.26.1:58888/udp/239.77.1.158:5146
CCTV-2,http://58.253.171.137:8188/udp/239.0.1.4:8084
CCTV-2,http://115.171.216.84:4000/rtp/225.1.8.2:8084
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3,http://38.75.136.137:98/gslb/dsdqca/cctv3hd.m3u8?auth=test20251009
CCTV-3,http://23.237.228.134/live5/CCTV3.m3u8
CCTV-3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8
CCTV-3,http://hczn.x3322.net:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://hczn.x3322.net:9902/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://223.167.230.132:4022/rtp/233.18.204.69:5140
CCTV-3,http://117.36.76.86:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://111.162.207.138:8686/rtp/225.1.1.158:5002
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-4,http://btjg.net:809/hls/143/index.m3u8
CCTV-4,http://btjg.net:809/hls/144/index.m3u8
CCTV-4,http://223.167.230.132:4022/rtp/233.18.204.70:5140
CCTV-4,http://dsl1.oni2023.uk:8888/udp/239.253.43.121:5146
CCTV-4,http://111.162.207.138:8686/rtp/225.1.1.150:5002
CCTV-4,http://58.253.171.137:8188/udp/239.0.1.180:6040
CCTV-4,http://111.113.88.15:2000/rtp/239.121.4.123:8000
CCTV-4,http://220.167.170.149:4000/rtp/239.120.1.159:9012
CCTV4-美洲,http://223.167.230.132:4022/rtp/233.18.204.70:5140
CCTV4-美洲,http://223.167.230.132:4022/rtp/233.18.204.23:5140
CCTV4-美洲,http://106.59.2.106:55555/udp/239.200.200.128:8652
CCTV4-美洲,http://115.171.216.84:4000/rtp/225.1.8.4:8092
CCTV4-美洲,http://114.254.38.86:18888/rtp/239.3.1.105:8092
CCTV4-美洲,http://171.213.151.229:8188/udp/239.94.0.4:5140
CCTV4-美洲,http://171.213.195.111:4000/udp/239.94.0.4:5140
CCTV4-美洲,http://111.162.207.111:8686/rtp/225.1.1.150:5002
CCTV4-美洲,http://111.113.88.15:2000/rtp/239.121.4.134:8786
CCTV4-美洲,http://111.113.88.15:2000/rtp/239.121.4.124:8002
