🕘️更新时间,#genre#
2026-01-17 19:35:30,http://171.104.106.89:50112/udp/239.81.0.28:4056

☘️央视频道,#genre#
CGTN,http://171.104.106.89:50112/udp/239.81.0.28:4056
CGTN,http://www.wmviv.com/iptv/bc2t.php?id=cgtn
CGTN,http://112.27.235.94:8000/hls/17/index.m3u8
CGTN,https://play.kankanlive.com/live/1698423645566913.m3u8
CGTN,https://0472.org/hls/cgtn.m3u8
CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN纪录,http://106.59.2.106:55555/udp/239.200.201.183:4220
CGTN纪录,http://114.254.38.86:18888/rtp/239.3.1.216:4220
CGTN纪录,http://111.162.207.111:8686/rtp/225.1.1.55:5002
CGTN纪录,http://111.113.88.15:2000/rtp/239.121.4.136:8018
CGTN纪录,http://113.119.26.1:58888/udp/239.253.43.122:5146
CGTN纪录,http://202.107.163.77:5555/udp/238.125.3.119:5140
CGTN纪录,http://220.176.218.76:9000/udp/239.252.219.195:5140
CGTN纪录,http://115.58.141.132:4000/rtp/225.1.5.35:1345
CGTN纪录,http://61.159.134.64:18000/rtp/238.255.2.212:5999
CGTN纪录,http://58.46.29.143:8188/udp/239.76.252.67:9000
CGTN英语,http://106.59.2.106:55555/udp/239.200.200.30:8500
CGTN英语,http://106.59.2.106:55555/udp/239.200.201.182:4220
CGTN英语,http://115.171.216.84:4000/rtp/225.1.8.116:8056
CGTN英语,http://114.254.38.86:18888/rtp/239.3.1.215:4220
CGTN英语,http://171.213.151.229:8188/udp/239.94.0.40:5140
CGTN英语,http://171.213.195.111:4000/udp/239.94.0.40:5140
CGTN英语,http://111.162.207.111:8686/rtp/225.1.1.27:5002
CGTN英语,http://111.113.88.15:2000/rtp/239.121.4.125:8014
CGTN英语,http://113.119.26.1:58888/udp/239.77.0.199:5146
CGTN英语,http://202.107.163.77:5555/udp/238.125.5.69:5140
CGTN法语,http://106.59.2.106:55555/rtp/239.200.201.185:4220
CGTN法语,http://114.254.38.86:18888/rtp/239.3.1.218:4220
CGTN法语,http://171.213.151.229:8188/udp/239.94.1.66:5140
CGTN法语,http://171.213.195.111:4000/udp/239.94.1.66:5140
CGTN法语,http://111.113.88.15:2000/rtp/239.121.4.206:8024
CGTN法语,http://113.119.26.1:58888/udp/239.77.0.228:5146
CGTN法语,http://220.176.218.76:9000/udp/239.252.219.65:5140
